Corey Perry;8625000;ANA
Ryan Getzlaf;8250000;ANA
Ryan Kesler;6875000;ANA
Rickard Rakell;3800000;ANA
Jakob Silfverberg;3750000;ANA
Patrick Eaves;3150000;ANA
Andrew Cogliano;3000000;ANA
Antoine Vermette;1750000;ANA
Nick Ritchie;1627000;ANA
Jared Boll;900000;ANA
Dennis Rasmussen;725000;ANA
Ondrej Kase;707000;ANA
Derek Grant;650000;ANA
Logan Shaw;650000;ANA
Hampus Lindholm;5250000;ANA
Sami Vatanen;4875000;ANA
Kevin Bieksa;4000000;ANA
Cam Fowler;4000000;ANA
Francois Beauchemin;1500000;ANA
Brandon Montour;925000;ANA
Korbinian Holzer;900000;ANA
Josh Manson;825000;ANA
John Gibson;2300000;ANA
Ryan Miller;2000000;ANA
Derek Stepan;6500000;ARI
Dave Bolland;5500000;ARI
Dylan Strome;3338000;ARI
Jamie McGinn;3333000;ARI
Tobias Rieder;2225000;ARI
Brad Richardson;2083000;ARI
Jordan Martinook;1800000;ARI
Clayton Keller;1673000;ARI
Lawson Crouse;1603000;ARI
Max Domi;1363000;ARI
Brendan Perlini;1363000;ARI
Anthony Duclair;1200000;ARI
Christian Dvorak;1052000;ARI
Nick Cousins;1000000;ARI
Oliver Ekman-Larsson;5500000;ARI
Alex Goligoski;5475000;ARI
Niklas Hjalmarsson;4099999;ARI
Jakob Chychrun;1350000;ARI
Luke Schenn;1250000;ARI
Kevin Connauton;1000000;ARI
Adam Clendening;650000;ARI
Louis Domingue;1050000;ARI
Antti Raanta;1000000;ARI
David Krejci;7250000;BOS
Patrice Bergeron;6875000;BOS
Brad Marchand;6125000;BOS
David Backes;6000000;BOS
Matt Beleskey;3800000;BOS
Ryan Spooner;2825000;BOS
Frank Vatrano;925000;BOS
Jakob Karlsson;925000;BOS
Riley Nash;900000;BOS
Tim Schaller;775000;BOS
Austin Czarnik;675000;BOS
David Pastrnak;0;BOS
Torey Krug;5250000;BOS
Zdeno Chara;4000000;BOS
Adam McQuaid;2750000;BOS
Kevan Miller;2500000;BOS
Brandon Carlo;894000;BOS
Paul Postma;725000;BOS
